id,split,rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,upper,player_name,relabel_hit_area,relabel_landing_area,pre_ball_speed,player_movement,hitting_ball_speed,opponent_movement,score
game1_set1_16630,train,1,11,00:11:05,16630,0,1,A,2,過度切球,,,1.0,4.0,0.716,0.9584,1.0,7.0,0.4144,-0.1403,,,,,4.0,0.139,-0.3708,8.0,0.568,0.9238,0,1,Kento Momota,4.0,7.0,0.4436757956752834,0.2428228033759256,0.5104869127190549,0.6417527540829008,0.5347912205325036
game1_set1_16649,train,1,12,00:11:05,16649,0,1,B,2,撲球,,,1.0,7.0,0.4144,-0.1403,2.0,8.0,0.0476,0.7334,,,,,6.0,0.4567,-0.2555,8.0,0.23,0.8084,0,0,Viktor Axelsen,7.0,7.0,0.5810603380907334,0.6764600977724436,0.8726391569997927,0.904004519206628,0.8235409765906986
game1_set1_16658,train,1,13,00:11:06,16658,0,1,A,3,擋小球,,1.0,2.0,8.0,0.0476,0.7334,1.0,16.0,-0.7591,-0.1666,出界,對手出界,B,,8.0,0.4271,-0.1927,6.0,0.3168,0.7681,0,1,Kento Momota,8.0,1.0,,,,,
game1_set1_16998,train,2,1,00:11:19,16998,0,2,B,1,發短球,,1.0,2.0,,-0.0518,-0.2762,2.0,7.0,0.2828,0.5085,,,,,8.0,-0.0518,-0.2762,8.0,0.2983,0.7162,0,0,Viktor Axelsen,8.0,7.0,0.0,0.0,0.3260260639383724,0.5055282171450887,0.2450663301537596
game1_set1_17019,train,2,2,00:11:20,17019,0,2,A,2,挑球,,1.0,2.0,7.0,0.2828,0.5085,1.0,9.0,0.4962,-0.8734,,,,,8.0,0.0565,-0.3028,8.0,0.3448,0.5432,0,1,Kento Momota,7.0,7.0,0.39641896196365,0.1194136395168614,0.3793906517158404,0.3287751791266728,0.348556325465492
game1_set1_17050,train,2,3,00:11:22,17050,0,2,B,2,切球,,,1.0,9.0,0.4962,-0.8734,2.0,5.0,-0.553,0.6793,,,,,9.0,0.3784,-0.863,8.0,0.2396,0.7161,0,0,Viktor Axelsen,9.0,2.0,0.4498357763652874,0.5654409357720201,0.9510726875086228,0.6933189540395162,0.7236723152002217
game1_set1_17065,train,2,4,00:11:22,17065,0,2,A,2,放小球,,1.0,2.0,5.0,-0.553,0.6793,2.0,1.0,-0.5159,-0.041,,,,,8.0,0.3845,-0.7792,9.0,-0.0025,0.6909,0,1,Kento Momota,5.0,1.0,0.9931095107165612,0.6203119819968768,0.2142982030181859,0.6626189607719598,0.6386908465077648
game1_set1_17090,train,2,5,00:11:23,17090,0,2,B,2,勾球,,1.0,2.0,1.0,-0.5159,-0.041,2.0,2.0,0.8602,0.3933,,,,,1.0,-0.428,-0.1508,8.0,-0.286,0.6103,0,0,Viktor Axelsen,2.0,1.0,0.2845817557033314,0.4351498399227654,0.478077027106607,0.7032081802204823,0.4854973943109196
game1_set1_17116,train,2,6,00:11:24,17116,0,2,A,2,挑球,,,2.0,2.0,0.8602,0.3933,1.0,6.0,0.4848,-0.7425,,,,,7.0,0.0414,-0.2452,8.0,0.5185,0.4625,0,1,Kento Momota,2.0,7.0,0.5486187337114826,0.5471878700926703,0.4014820920564937,0.6172348045229961,0.5239582675401626
game1_set1_17141,train,2,7,00:11:25,17141,0,2,B,2,切球,,,1.0,6.0,0.4848,-0.7425,2.0,5.0,-0.5851,0.5241,,,,,8.0,0.2876,-0.7111,8.0,0.4394,0.7046,0,0,Viktor Axelsen,8.0,2.0,0.4719488370613128,0.5867708411933934,0.7747731558788997,0.9532941832054522,0.7637706837833181
game1_set1_17160,train,2,8,00:11:26,17160,0,2,A,2,放小球,,1.0,2.0,5.0,-0.5851,0.5241,2.0,1.0,-0.7866,0.0469,,,,,8.0,0.3966,-0.6064,8.0,-0.4619,0.6161,0,1,Kento Momota,5.0,1.0,0.8456052317690126,0.6545637054345393,0.1341666287046715,0.758270053387273,0.5886630962234984
game1_set1_17185,train,2,9,00:11:27,17185,0,2,B,2,挑球,,1.0,2.0,1.0,-0.7866,0.0469,1.0,3.0,-0.6159,0.8977,,,,,1.0,-0.4102,-0.0462,8.0,-0.3172,0.6046,0,0,Viktor Axelsen,2.0,2.0,0.2043717585669286,0.3189638591738122,0.2088946504153047,0.1462200892253615,0.1419412493829586
game1_set1_17216,train,2,10,00:11:28,17216,0,2,A,2,過度切球,1.0,,1.0,3.0,-0.6159,0.8977,2.0,5.0,-0.5085,-0.4122,,,,,8.0,-0.0963,-0.3598,8.0,-0.4164,0.8805,0,1,Kento Momota,3.0,1.0,0.2791729147749384,0.1660960424093426,0.7144507616636115,0.4068993221190057,0.4607292959241175
game1_set1_17232,train,2,11,00:11:29,17232,0,2,B,2,放小球,,1.0,2.0,5.0,-0.5085,-0.4122,2.0,7.0,-0.1689,0.4149,,,,,8.0,0.0322,-0.4546,8.0,-0.3769,0.8575,0,0,Viktor Axelsen,6.0,7.0,0.785223801493616,0.9552435987412884,0.2962282030468854,0.3405630793617973,0.4688756961104299
game1_set1_17256,train,2,12,00:11:30,17256,0,2,A,2,挑球,,1.0,2.0,7.0,-0.1689,0.4149,1.0,3.0,-0.4957,-0.8357,,,,,8.0,-0.0487,-0.3337,8.0,-0.1454,0.6104,0,1,Kento Momota,7.0,7.0,0.3665919386304269,0.2473522481308574,0.2998939441413464,0.1472121241302934,0.2382980546241941
game1_set1_17291,train,2,13,00:11:31,17291,0,2,B,2,點扣,1.0,,1.0,3.0,-0.4957,-0.8357,2.0,5.0,-0.5493,0.6908,,,,,8.0,-0.3382,-0.7625,8.0,-0.069,0.6966,0,0,Viktor Axelsen,9.0,2.0,0.3702612672965419,0.5258090570549077,1.0,0.46319403762286,0.6248287662470144
game1_set1_17303,train,2,14,00:11:32,17303,0,2,A,2,勾球,,1.0,2.0,5.0,-0.5493,0.6908,2.0,2.0,0.4647,-0.1299,,,,,8.0,-0.3931,-0.7834,9.0,0.0129,0.7046,0,1,Kento Momota,5.0,7.0,0.9892551526980636,0.4589083938226003,0.4254717575767271,0.5794360121425146,0.6857436818602162
game1_set1_17329,train,2,15,00:11:33,17329,0,2,B,2,勾球,,,2.0,2.0,0.4647,-0.1299,1.0,5.0,-0.6125,0.5241,,,,,8.0,0.3074,-0.2137,8.0,0.0788,0.7392,0,0,Viktor Axelsen,7.0,2.0,0.4959619806837346,0.4451236831115585,0.4086456677559784,0.0774133248122703,0.302099506295287
game1_set1_17355,train,2,16,00:11:34,17355,0,2,A,2,推球,,1.0,1.0,5.0,-0.6125,0.5241,1.0,5.0,-0.5106,-0.4384,,,,,8.0,0.0824,-0.2661,8.0,-0.3429,0.5241,0,1,Kento Momota,5.0,1.0,0.4791194235781082,0.3395885633011258,0.6272224290166053,0.9499515180898126,0.7092937230600834
game1_set1_17368,train,2,17,00:11:34,17368,0,2,B,2,防守回抽,,1.0,1.0,5.0,-0.5106,-0.4384,1.0,5.0,-0.6899,0.685,,,,,8.0,-0.1634,-0.3703,8.0,-0.2386,0.5816,0,0,Viktor Axelsen,6.0,2.0,0.6979101005989418,0.8691079943315867,0.8805814041911149,0.1836028119507907,0.5977799639522007
game1_set1_17379,train,2,18,00:11:35,17379,0,2,A,2,擋小球,,1.0,1.0,5.0,-0.6899,0.685,2.0,1.0,-0.5724,-0.1247,,,,,8.0,-0.3122,-0.3704,8.0,-0.1078,0.6851,0,1,Kento Momota,5.0,1.0,0.9515170320404724,0.4777692135062524,0.2936615957106688,0.1743989081254907,0.4679517633523044
game1_set1_17401,train,2,19,00:11:36,17401,0,2,B,2,挑球,,1.0,2.0,1.0,-0.5724,-0.1247,1.0,5.0,-0.5569,0.8748,,,,,1.0,-0.4116,-0.1247,8.0,-0.252,0.6678,0,0,Viktor Axelsen,2.0,2.0,0.3640228194180331,0.5124366271419479,0.296342463057153,0.099882835383714,0.2180383088119462
game1_set1_17428,train,2,20,00:11:37,17428,0,2,A,2,過度切球,1.0,,1.0,5.0,-0.5569,0.8748,2.0,5.0,-0.5945,-0.4436,,,,,9.0,-0.0622,-0.3964,8.0,-0.3504,0.9035,0,1,Kento Momota,5.0,1.0,0.3667063104641875,0.1667784047374616,0.8187707332164488,0.2700351493848857,0.4815725029558837
game1_set1_17442,train,2,21,00:11:37,17442,0,2,B,2,放小球,,1.0,2.0,5.0,-0.5945,-0.4436,2.0,1.0,-0.5558,0.4263,,,,,8.0,-0.1203,-0.3651,9.0,-0.354,0.8863,0,0,Viktor Axelsen,6.0,2.0,0.88964586846543,0.992263005779498,0.3342428677710782,0.2606033977738722,0.4925571139196711
game1_set1_17463,train,2,22,00:11:38,17463,0,2,A,2,放小球,,1.0,2.0,1.0,-0.5558,0.4263,2.0,1.0,-1.0176,0.0756,,,,,7.0,-0.1678,-0.4017,8.0,-0.4283,0.4953,0,1,Kento Momota,1.0,1.0,0.4046438073824246,0.2879571345622636,0.1502531416824961,0.3208467806358842,0.2618159813241811
game1_set1_17489,train,2,23,00:11:39,17489,0,2,B,2,挑球,,1.0,2.0,1.0,-1.0176,0.0756,1.0,4.0,0.6224,0.9469,,,,,1.0,-0.7625,0.0124,8.0,-0.3056,0.6103,0,0,Viktor Axelsen,2.0,1.0,0.220474015023762,0.3393540408126582,0.3864082395278666,0.4019135738653984,0.3122482974249645
game1_set1_17530,train,2,24,00:11:41,17530,0,2,A,2,長球,,,1.0,4.0,0.6224,0.9469,1.0,8.0,0.444,-0.7425,,,,,4.0,0.0715,-0.3447,8.0,0.571,0.9699,0,1,Kento Momota,4.0,7.0,0.4568602321198294,0.2996148949138434,0.4031711747247583,0.5974809607498534,0.4823306528465843
game1_set1_17566,train,2,25,00:11:42,17566,0,2,B,2,殺球,,,1.0,8.0,0.444,-0.7425,2.0,5.0,-0.6233,0.6793,,,,,9.0,0.4518,-0.7844,8.0,0.3088,0.7796,0,0,Viktor Axelsen,8.0,2.0,0.4736395727937043,0.5906245619233881,0.954730866700268,0.977633601813073,0.8418487090755093
game1_set1_17578,train,2,26,00:11:43,17578,0,2,A,2,擋小球,,1.0,2.0,5.0,-0.6233,0.6793,2.0,1.0,-0.3955,-0.0724,,,,,8.0,0.6126,-0.7844,4.0,0.2234,0.745,0,1,Kento Momota,5.0,7.0,0.9571625642084934,0.8957456156749694,0.2283444298799208,0.5210912286307715,0.5767446207816386
game1_set1_17604,train,2,27,00:11:44,17604,0,2,B,3,勾球,,1.0,2.0,1.0,-0.3955,-0.0724,2.0,2.0,0.9265,0.4049,對手落地致勝,落地致勝,B,,8.0,-0.2591,-0.2135,8.0,-0.4165,0.6908,0,0,Viktor Axelsen,7.0,1.0,,,,,
game1_set1_18640,train,3,1,00:12:25,18640,1,2,B,1,未知球種,,,2.0,,,,,,,,,,,1.0,,,,,,,0,0,Viktor Axelsen,,,,,,,
game1_set1_20088,train,4,1,00:13:23,20088,1,3,B,1,推球,,1.0,2.0,,-0.1406,-0.0984,1.0,4.0,0.6612,0.9584,,,,,7.0,-0.1406,-0.0984,8.0,0.0119,0.7565,0,0,Viktor Axelsen,,1.0,0.0,0.0,0.3996696502187439,0.6015593816091267,0.3093801647075049
game1_set1_20116,train,4,2,00:13:24,20116,1,3,A,2,過度切球,,,1.0,4.0,0.6612,0.9584,2.0,6.0,0.5808,-0.1979,,,,,4.0,0.208,-0.3237,8.0,0.5758,0.9296,0,1,Kento Momota,4.0,2.0,0.4701346214308172,0.2973268158877728,0.5844218977661428,0.5252315584477268,0.528678266452095
game1_set1_20133,train,4,3,00:13:25,20133,1,3,B,2,放小球,,,2.0,6.0,0.5808,-0.1979,2.0,6.0,0.7638,0.5202,,,,,8.0,0.4377,-0.444,8.0,0.1787,0.8315,0,0,Viktor Axelsen,5.0,1.0,0.6550676815095028,0.7861257197891243,0.2740327289517603,0.2615719586018355,0.3811871212216713
game1_set1_20154,train,4,4,00:13:26,20154,1,3,A,2,推球,,,2.0,6.0,0.7638,0.5202,1.0,6.0,0.6046,-0.7215,,,,,8.0,0.2491,-0.3446,8.0,0.4915,0.6412,0,1,Kento Momota,6.0,2.0,0.3443747423646243,0.3799681242043965,0.3888089932530334,0.2395754324299324,0.2985888943452413
game1_set1_20181,train,4,5,00:13:27,20181,1,3,B,2,過度切球,,,1.0,6.0,0.6046,-0.7215,2.0,5.0,-0.6324,0.5471,,,,,6.0,0.5777,-0.6849,8.0,0.079,0.7276,0,0,Viktor Axelsen,5.0,2.0,0.459263335404278,0.6188678171994709,0.790815818197223,0.8737953161401067,0.7349097891196981
game1_set1_20201,train,4,6,00:13:28,20201,1,3,A,2,放小球,,1.0,2.0,5.0,-0.6324,0.5471,2.0,1.0,-0.7723,0.1159,,,,,8.0,0.3123,-0.5855,8.0,-0.4499,0.5988,0,1,Kento Momota,5.0,1.0,0.8616635946507707,0.4402968830582131,0.1021677472963387,0.7872583479789101,0.5936087496425321
game1_set1_20227,train,4,7,00:13:29,20227,1,3,B,2,挑球,,1.0,2.0,1.0,-0.7723,0.1159,1.0,9.0,0.3684,0.9295,,,,,7.0,-0.5398,0.0124,8.0,-0.2554,0.6391,0,0,Viktor Axelsen,2.0,7.0,0.1723415606316112,0.27232751360861,0.3541864292230469,0.4120857848755761,0.2856463606627078
game1_set1_20260,train,4,8,00:13:30,20260,1,3,A,2,長球,,,1.0,9.0,0.3684,0.9295,1.0,6.0,0.6062,-0.6639,,,,,8.0,0.0819,-0.4022,8.0,0.1153,0.8718,0,1,Kento Momota,9.0,2.0,0.424606887112936,0.2572643720956994,0.5004028026349218,0.7203568556194332,0.5535352513888397
game1_set1_20288,train,4,9,00:13:31,20288,1,3,B,3,殺球,,,1.0,6.0,0.6062,-0.6639,2.0,6.0,0.8163,0.8316,對手落地致勝,落地致勝,B,,6.0,0.6857,-0.6849,8.0,0.0102,0.843,0,0,Viktor Axelsen,5.0,1.0,,,,,
game1_set1_20749,train,5,1,00:13:49,20749,1,4,B,1,未知球種,,,2.0,,0.6857,-0.6849,,6.0,0.8163,0.8316,,,,1.0,6.0,0.6857,-0.6849,8.0,0.0102,0.843,0,0,Viktor Axelsen,,1.0,,,,,
game1_set1_21213,train,6,1,00:14:08,21213,1,5,B,1,未知球種,,,2.0,,,,,,,,,,,1.0,,,,,,,0,0,Viktor Axelsen,,,,,,,
game1_set1_22169,train,7,1,00:14:46,22169,1,6,B,1,未知球種,,,2.0,,,,,,,,,,,1.0,,,,,,,0,0,Viktor Axelsen,,,,,,,
game1_set1_22754,val,8,1,00:15:10,22754,1,7,B,1,未知球種,,,2.0,,,,,,,,,,,1.0,,,,,,,0,0,Viktor Axelsen,,,,,,,
game1_set1_23423,train,9,1,00:15:36,23423,2,7,B,1,發短球,,1.0,2.0,,-0.0544,-0.2605,2.0,8.0,0.1846,0.5316,,,,,8.0,-0.0544,-0.2605,8.0,0.3022,0.7162,0,0,Viktor Axelsen,8.0,7.0,0.0,0.0,0.3731878754197039,0.5670271731783153,0.2862533105014795
game1_set1_23441,train,9,2,00:15:37,23441,2,7,A,2,推球,,1.0,2.0,8.0,0.1846,0.5316,1.0,4.0,0.5028,-0.8263,,,,,8.0,0.038,-0.3499,8.0,0.3647,0.5259,0,1,Kento Momota,8.0,2.0,0.4436269295628486,0.1447965897387697,0.4238172811318664,0.3557460308003931,0.3935127563468548
game1_set1_23469,train,9,3,00:15:38,23469,2,7,B,2,長球,,,1.0,4.0,0.5028,-0.8263,1.0,9.0,0.4895,0.9411,,,,,9.0,0.4548,-0.8263,8.0,0.2131,0.67,0,0,Viktor Axelsen,3.0,7.0,0.494305885043016,0.5943038355215601,0.4357945759088849,0.1796025230517369,0.3504963342201514
game1_set1_23504,train,9,4,00:15:40,23504,2,7,A,2,點扣,,,1.0,9.0,0.4895,0.9411,2.0,6.0,0.6464,-0.4388,,,,,9.0,0.1837,-0.4755,8.0,0.4591,0.895,0,1,Kento Momota,9.0,2.0,0.5062949017071313,0.1368326277919619,0.8658747180091875,0.3522847100175746,0.5835128329480307
game1_set1_23518,train,9,5,00:15:40,23518,2,7,B,2,擋小球,,,2.0,6.0,0.6464,-0.4388,2.0,2.0,0.7215,0.4856,,,,,8.0,0.2729,-0.5069,4.0,0.5758,0.9296,0,0,Viktor Axelsen,5.0,1.0,0.9367959527824622,0.9770676346964676,0.30986826125372,0.2621523829215341,0.5017771038046729
game1_set1_23542,train,9,6,00:15:41,23542,2,7,A,2,挑球,,,2.0,2.0,0.7215,0.4856,1.0,6.0,0.5638,-0.7268,,,,,6.0,0.3165,-0.3551,8.0,0.5836,0.5317,0,1,Kento Momota,2.0,2.0,0.3802453460304864,0.2363756759745391,0.3486886740461933,0.1228960788268172,0.2527517140249519
game1_set1_23571,train,9,7,00:15:42,23571,2,7,B,2,點扣,,,1.0,6.0,0.5638,-0.7268,2.0,6.0,0.7545,0.7912,,,,,8.0,0.3982,-0.7216,8.0,0.3213,0.7392,0,0,Viktor Axelsen,5.0,1.0,0.4191037514168025,0.5323160686190559,0.9593086910894144,0.3240562390158171,0.5751793517703608
game1_set1_23582,train,9,8,00:15:43,23582,2,7,A,2,擋小球,,,2.0,6.0,0.7545,0.7912,2.0,2.0,0.4761,-0.088,,,,,8.0,0.5731,-0.8786,4.0,0.3946,0.7911,0,1,Kento Momota,6.0,7.0,0.9786266618130038,0.4502175115610755,0.3581040947202912,0.3794337043546181,0.5803706255713084
game1_set1_23603,train,9,9,00:15:44,23603,2,7,B,2,放小球,,,2.0,2.0,0.4761,-0.088,2.0,2.0,0.7984,0.3529,,,,,8.0,0.3573,-0.177,8.0,0.3313,0.8257,0,0,Viktor Axelsen,7.0,1.0,0.4285283867341203,0.5061464346108354,0.1628136041810178,0.2339926831892686,0.2427088387032916
game1_set1_23626,train,9,10,00:15:45,23626,2,7,A,2,放小球,,,2.0,2.0,0.7984,0.3529,1.0,4.0,0.5752,-0.8577,,,,,2.0,0.3073,-0.2084,8.0,0.6674,0.4509,0,1,Kento Momota,2.0,2.0,0.2330467701414461,0.3498979804472333,0.302687596063753,0.2955031710858103,0.2449462709948435
game1_set1_23659,train,9,11,00:15:46,23659,2,7,B,2,過度切球,,,1.0,4.0,0.5752,-0.8577,2.0,1.0,-0.7828,0.4493,,,,,4.0,0.5011,-0.8839,8.0,0.2793,0.6873,0,0,Viktor Axelsen,3.0,2.0,0.3730576532981401,0.4904511020420555,0.8049682398820133,0.948039445420816,0.7357402201457154
game1_set1_23680,train,9,12,00:15:47,23680,2,7,A,2,推球,,1.0,2.0,1.0,-0.7828,0.4493,1.0,5.0,-0.6301,-0.475,,,,,5.0,0.2065,-0.5698,8.0,-0.5501,0.5298,0,1,Kento Momota,1.0,1.0,0.8758298669664607,0.6239548979844074,0.3851091047152064,0.7902358278497564,0.7073535702863328
game1_set1_23700,train,9,13,00:15:48,23700,2,7,B,2,長球,,1.0,1.0,5.0,-0.6301,-0.475,1.0,9.0,-0.4212,0.9265,,,,,8.0,-0.3399,-0.4592,8.0,-0.2118,0.6104,0,0,Viktor Axelsen,6.0,7.0,0.4555598258755245,0.6047407795648984,0.2866378686956639,0.1855982806445464,0.2815459617220362
game1_set1_23740,train,9,14,00:15:49,23740,2,7,A,2,點扣,1.0,,1.0,9.0,-0.4212,0.9265,2.0,5.0,-0.52,-0.4488,,,,,9.0,0.0175,-0.4337,8.0,-0.4284,0.8978,0,1,Kento Momota,9.0,1.0,0.3569922184522238,0.1178602655296591,0.9232146582561226,0.0954366402036239,0.4512989307146972
game1_set1_23753,train,9,15,00:15:50,23753,2,7,B,2,擋小球,,1.0,2.0,5.0,-0.52,-0.4488,2.0,5.0,-0.7418,0.547,,,,,8.0,0.1132,-0.4127,8.0,-0.3422,0.8805,0,0,Viktor Axelsen,6.0,2.0,0.9941920102343434,0.9733794196896352,0.4035982628335769,0.289841827768014,0.569555666505448
game1_set1_23774,train,9,16,00:15:50,23774,2,7,A,2,放小球,,1.0,2.0,5.0,-0.7418,0.547,2.0,1.0,-0.8221,0.0641,,,,,5.0,-0.0678,-0.3389,8.0,-0.5428,0.5586,0,1,Kento Momota,5.0,1.0,0.4740670788832677,0.2983907794936457,0.1475636826304116,0.3341341659499681,0.2921473656411347
game1_set1_23796,train,9,17,00:15:51,23796,2,7,B,2,挑球,,1.0,2.0,1.0,-0.8221,0.0641,1.0,4.0,0.575,0.9699,,,,,1.0,-0.4723,-0.0672,8.0,-0.329,0.6103,0,0,Viktor Axelsen,2.0,1.0,0.217781923863514,0.3117103262145589,0.3817109015933871,0.4783762810124847,0.3384299617990354
game1_set1_23833,train,9,18,00:15:53,23833,2,7,A,2,過度切球,,,1.0,4.0,0.575,0.9699,2.0,7.0,0.3782,-0.1299,,,,,9.0,0.0475,-0.3447,8.0,0.4542,0.9411,0,1,Kento Momota,4.0,7.0,0.4521582970149581,0.3259527557573651,0.426603140591426,0.6938282915155365,0.5259497909781528
game1_set1_23855,train,9,19,00:15:54,23855,2,7,B,2,推球,,,2.0,7.0,0.3782,-0.1299,1.0,4.0,0.5359,0.9642,,,,,8.0,0.3467,-0.287,8.0,0.2218,0.8257,0,0,Viktor Axelsen,7.0,1.0,0.4970944709554735,0.5893350541584294,0.3498493087435206,0.0086675187729669,0.2541849469744272
game1_set1_23881,train,9,20,00:15:55,23881,2,7,A,2,長球,,,1.0,4.0,0.5359,0.9642,1.0,6.0,0.486,-0.6483,,,,,9.0,0.3172,-0.4127,8.0,0.4465,0.9353,0,1,Kento Momota,4.0,7.0,0.4202655219990802,0.1610231405818736,0.4824885597410296,0.2255625342130282,0.3575516800532373
game1_set1_23910,train,9,21,00:15:56,23910,2,7,B,2,點扣,,,1.0,6.0,0.486,-0.6483,2.0,6.0,0.6307,0.722,,,,,8.0,0.4296,-0.7425,8.0,0.2075,0.7565,0,0,Viktor Axelsen,8.0,1.0,0.5530345838056009,0.6699307891470935,0.9960901685783364,0.2515231400117164,0.6123933833044622
game1_set1_23922,train,9,22,00:15:56,23922,2,7,A,2,擋小球,,,2.0,6.0,0.6307,0.722,2.0,7.0,0.3985,0.0011,,,,,8.0,0.4886,-0.8472,9.0,0.3056,0.745,0,1,Kento Momota,6.0,7.0,0.9760830122610832,0.4056891609766313,0.2285271741579688,0.3259127234141326,0.5100047051945085
game1_set1_23947,train,9,23,00:15:57,23947,2,7,B,2,挑球,,,2.0,7.0,0.3985,0.0011,1.0,4.0,0.6143,0.9584,,,,,7.0,0.153,-0.1561,8.0,0.166,0.6815,0,0,Viktor Axelsen,7.0,1.0,0.2988246523911038,0.364912567103017,0.2033217933699678,0.0751845342706502,0.1487050551153918
game1_set1_23983,train,9,24,00:15:59,23983,2,7,A,2,長球,,,1.0,4.0,0.6143,0.9584,1.0,9.0,0.4879,-0.7949,,,,,4.0,0.2187,-0.4074,8.0,0.5751,0.9642,0,1,Kento Momota,4.0,7.0,0.2735946037099495,0.1812358521212702,0.4949615509951477,0.3247938353386507,0.3442978648345736
game1_set1_24014,train,9,25,00:16:00,24014,2,7,B,2,殺球,,,1.0,9.0,0.4879,-0.7949,2.0,5.0,-0.5295,0.6735,,,,,6.0,0.4989,-0.7163,8.0,0.2659,0.7738,0,0,Viktor Axelsen,9.0,2.0,0.5655197820729019,0.6990321612797494,0.977614410399774,0.9540013099622946,0.8763913483775185
game1_set1_24026,train,9,26,00:16:01,24026,2,7,A,3,擋小球,,1.0,2.0,5.0,-0.5295,0.6735,2.0,1.0,-0.6333,-0.062,對手落地致勝,落地致勝,A,,8.0,0.8108,-0.8838,4.0,0.2509,0.7392,0,1,Kento Momota,5.0,1.0,,,,,
